[0109/093013:ERROR:renderer_main.cc(200)] Running without renderer sandbox
[0109/093610:INFO:CONSOLE(1)] "[Strophe][DEBUG]: request id 4.3 state changed to 1", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093610:INFO:CONSOLE(1)] "SENT: <body rid='1433213421' xmlns='http://jabber.org/protocol/httpbind' to='localhost' xml:lang='en' wait='60' hold='1' content='text/xml; charset=utf-8' ver='1.6' xmpp:version='1.0' xmlns:xmpp='urn:xmpp:xbosh'/>", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093658:INFO:CONSOLE(1)] "[Strophe][DEBUG]: request id 4.4 state changed to 4", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093658:INFO:CONSOLE(1)] "[Strophe][ERROR]: request id 4.4 error 0 happened", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093658:INFO:CONSOLE(1)] "[Strophe][WARN]: request errored, status: 0, number of errors: 4", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093658:INFO:CONSOLE(1)] "[Strophe][DEBUG]: _throttledRequestHandler called with 1 requests", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093658:INFO:CONSOLE(1)] "[Strophe][DEBUG]: request id 5.4 posting", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093658:INFO:CONSOLE(1)] "[Strophe][DEBUG]: request id 5.4 state changed to 1", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093658:INFO:CONSOLE(1)] "SENT: <body rid='1433213421' xmlns='http://jabber.org/protocol/httpbind' to='localhost' xml:lang='en' wait='60' hold='1' content='text/xml; charset=utf-8' ver='1.6' xmpp:version='1.0' xmlns:xmpp='urn:xmpp:xbosh'/>", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093823:INFO:CONSOLE(1)] "[Strophe][DEBUG]: request id 5.5 state changed to 4", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093823:INFO:CONSOLE(1)] "[Strophe][ERROR]: request id 5.5 error 0 happened", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093823:INFO:CONSOLE(1)] "[Strophe][WARN]: request errored, status: 0, number of errors: 5", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093823:INFO:CONSOLE(1)] "[Strophe][INFO]: _onDisconnectTimeout was called", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093823:INFO:CONSOLE(1)] "[Strophe][INFO]: _doDisconnect was called", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093823:INFO:CONSOLE(1)] "[Connection] Disconnected", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093823:INFO:CONSOLE(1)] "[Strophe][ERROR]: User connection callback caused an exception: TypeError: Cannot read property 'indexOf' of null", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/093823:INFO:CONSOLE(1)] "[Strophe][DEBUG]: _throttledRequestHandler called with 0 requests", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/155850:INFO:CONSOLE(1)] "[Init] Debugging enabled", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/160153:ERROR:renderer_main.cc(200)] Running without renderer sandbox
[0109/160154:INFO:CONSOLE(1)] "[Init] Debugging enabled", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/160315:WARNING:pref_notifier_impl.cc(27)] pref observer found at shutdown plugins.always_authorize
[0109/160315:WARNING:pref_notifier_impl.cc(27)] pref observer found at shutdown plugins.allow_outdated
[0109/160414:ERROR:renderer_main.cc(200)] Running without renderer sandbox
[0109/160414:INFO:CONSOLE(1)] "[Init] Debugging enabled", source: file:///C:/Program%20Files/Studio%20GPBeta/SAO%20Utils/Plugins/Web%20Widget/Widgets/Candy/candy.min.js (1)
[0109/165200:ERROR:renderer_main.cc(200)] Running without renderer sandbox
[0109/165204:INFO:CONSOLE(27)] "Uncaught SyntaxError: Unexpected token =", source: https://a.trellocdn.com/prgb/dist/ltp.dce1cd4a2b2b2f89f58e.js (27)
